GEOID,state,county,strokeRate
17171,Illinois,Scott,80.9
17173,Illinois,Shelby,81.0
17175,Illinois,Stark,79.0
17177,Illinois,Stephenson,87.8
17179,Illinois,Tazewell,76.9
17181,Illinois,Union,75.4
17183,Illinois,Vermilion,76.2
17185,Illinois,Wabash,85.9
17187,Illinois,Warren,81.1
17189,Illinois,Washington,83.5
17191,Illinois,Wayne,90.1
17193,Illinois,White,84.5
17195,Illinois,Whiteside,69.6
17197,Illinois,Will,70.5
17199,Illinois,Williamson,78.3
17201,Illinois,Winnebago,88.5
17203,Illinois,Woodford,82.9
18001,Indiana,Adams,79.8
18003,Indiana,Allen,80.6
18005,Indiana,Bartholomew,83.2
18007,Indiana,Benton,78.1
18009,Indiana,Blackford,82.8
18011,Indiana,Boone,100.8
18013,Indiana,Brown,71.0
18015,Indiana,Carroll,71.7
18017,Indiana,Cass,84.8
18019,Indiana,Clark,78.1
18021,Indiana,Clay,90.6
18023,Indiana,Clinton,109.2
18025,Indiana,Crawford,80.6
18027,Indiana,Daviess,104.8
18029,Indiana,Dearborn,93.0
18031,Indiana,Decatur,93.9
18033,Indiana,DeKalb,89.4
18035,Indiana,Delaware,82.1
18037,Indiana,Dubois,105.5
18039,Indiana,Elkhart,92.7
18041,Indiana,Fayette,88.9
18043,Indiana,Floyd,73.9
18045,Indiana,Fountain,74.7
18047,Indiana,Franklin,82.2
18049,Indiana,Fulton,101.4
18051,Indiana,Gibson,76.0
18053,Indiana,Grant,83.1
18055,Indiana,Greene,87.8
18057,Indiana,Hamilton,71.8
18059,Indiana,Hancock,80.5
18061,Indiana,Harrison,73.4
18063,Indiana,Hendricks,77.4
18065,Indiana,Henry,84.9
18067,Indiana,Howard,87.7
18069,Indiana,Huntington,122.0
18071,Indiana,Jackson,106.7
18073,Indiana,Jasper,81.6
18075,Indiana,Jay,79.2
18077,Indiana,Jefferson,89.8
18079,Indiana,Jennings,100.4
18081,Indiana,Johnson,80.3
18083,Indiana,Knox,149.3
18085,Indiana,Kosciusko,79.2
18087,Indiana,LaGrange,95.8
18089,Indiana,Lake,71.8
18091,Indiana,LaPorte,76.6
18093,Indiana,Lawrence,80.9
18095,Indiana,Madison,77.4
18097,Indiana,Marion,82.2
18099,Indiana,Marshall,71.6
18101,Indiana,Martin,96.8
18103,Indiana,Miami,87.2
18105,Indiana,Monroe,61.9
18107,Indiana,Montgomery,79.9
18109,Indiana,Morgan,76.3
18111,Indiana,Newton,77.2
18113,Indiana,Noble,91.8
18115,Indiana,Ohio,82.1
18117,Indiana,Orange,95.0
18119,Indiana,Owen,92.5
18121,Indiana,Parke,96.9
18123,Indiana,Perry,78.8
18125,Indiana,Pike,79.4
18127,Indiana,Porter,65.1
18129,Indiana,Posey,82.2
18131,Indiana,Pulaski,109.7
18133,Indiana,Putnam,81.3
18135,Indiana,Randolph,87.0
18137,Indiana,Ripley,94.8
18139,Indiana,Rush,84.6
18141,Indiana,St. Joseph,84.9
18143,Indiana,Scott,96.1
18145,Indiana,Shelby,81.6
18147,Indiana,Spencer,73.9
18149,Indiana,Starke,97.4
18151,Indiana,Steuben,81.4
18153,Indiana,Sullivan,86.2
18155,Indiana,Switzerland,80.5
18157,Indiana,Tippecanoe,75.0
18159,Indiana,Tipton,84.6
18161,Indiana,Union,78.2
18163,Indiana,Vanderburgh,76.2
18165,Indiana,Vermillion,150.4
18167,Indiana,Vigo,91.7
18169,Indiana,Wabash,82.8
18171,Indiana,Warren,69.2
18173,Indiana,Warrick,62.6
18175,Indiana,Washington,85.7
18177,Indiana,Wayne,85.8
18179,Indiana,Wells,79.4
18181,Indiana,White,73.5
18183,Indiana,Whitley,73.8
19001,Iowa,Adair,58.7
19003,Iowa,Adams,60.4
19005,Iowa,Allamakee,77.0
19007,Iowa,Appanoose,70.7
19009,Iowa,Audubon,58.5
19011,Iowa,Benton,64.1
19013,Iowa,Black Hawk,70.4
19015,Iowa,Boone,64.7
19017,Iowa,Bremer,69.6
19019,Iowa,Buchanan,65.1
19021,Iowa,Buena Vista,54.2
19023,Iowa,Butler,66.3
19025,Iowa,Calhoun,57.7
19027,Iowa,Carroll,66.7
19029,Iowa,Cass,54.5
19031,Iowa,Cedar,63.8
19033,Iowa,Cerro Gordo,62.6
19035,Iowa,Cherokee,54.8
19037,Iowa,Chickasaw,59.1
19039,Iowa,Clarke,52.1
19041,Iowa,Clay,61.9
19043,Iowa,Clayton,75.8
19045,Iowa,Clinton,69.0
19047,Iowa,Crawford,59.1
19049,Iowa,Dallas,63.2
19051,Iowa,Davis,84.3
19053,Iowa,Decatur,54.5
19055,Iowa,Delaware,66.9
19057,Iowa,Des Moines,78.5
19059,Iowa,Dickinson,69.0
19061,Iowa,Dubuque,75.0
19063,Iowa,Emmet,65.8
